ordinance,name,text
Santa Monica — 4.08.095,Anti-camping/enforcement provision,"Santa Monica had an existing, unenforceable camping ordinance. In September 2024, they amended it to reinstate and enforce it. 4.08.095 Prohibition against camping in public places. Ordinance extends even to sleeping bags, pillows, and blankets."
Baldwin Park — codes 99.01-99.04,Anti-camping/enforcement provision,"Existing codes 99.01-99.04 banned camping, which was unenforceable until Grants Pass decision. Enforcement has likely begun again, as shown in a July 2024 internal staff memo recommending it."
Hermosa Beach — (no code section cited in source),Anti-camping/enforcement provision,"10/31/24 Press release said that anti-camping ordinances will be enforced post Grants Pass. Language: ""Enforcing Public Camping & Loitering Regulations: In line with the recent Supreme Court Grants Pass decision, local laws prohibit camping or sleeping in vehicles on public streets and overnight camping on the beach. Hermosa Beach also enforces laws that prevent loitering in public spaces that obstruct pedestrian movement or cause quality of life impacts.""  - Hermosa is currently considering a new ordinance - return!"
Arcadia — (no code section cited in source),Anti-camping/enforcement provision,"City of Arcadia website - Arcadia’s anti-camping laws paused enforcement after *Martin v. Boise*, and have resumed post-Grants Pass"
Glendale — 9.28.010-9.28.040,Anti-camping/enforcement provision,Existing ordinance 9.28.010-9.28.040 prohibited camping. Glendale city council voted to resume enforcement.
Long Beach — (no code section cited in source),Anti-camping/enforcement provision,"Long Beach PD now has discretion to enforce existing anti-camping ordinance. Internal memo primarily discusses citations, but also arrests, especially following repeated complaints or ""related criminal conduct."" Long Beach has been conducting widespread sweeps."
Malibu — 8.36.050,Anti-camping/enforcement provision,"Per Malibu city website - said that Grants Pass won't change much, but did specify 72-hour notices to vacate encampments on public property, when they violate 8.36.050. Will cite unhoused people with ""cite and release"" system."
Irwindale — (no code section cited in source),Proposed anti-camping provision,"2024 election - Irwindale passed a measure for a slight sales tax increase to fund, among many other things, ""cleaning up homeless encampments."""
Arcadia — (no code section cited in source),Anti-camping/enforcement provision,"Arcadia had an existing camping ordinance that was unenforceable under Martin. Per their website, they will resume enforcement."
San Dimas — (no code section cited in source),Proposed anti-camping provision,"San Dimas actually amended their municipal code (not just changing enforcement for an additional code, post Grants Pass). That's code 1310. It is standard language, authorizing citations for storage of belongings on public property and erecting campsites/using camp equpment, with general language about promoting the health and safety of the community."
Pasadena — (no code section cited in source),Anti-camping/enforcement provision,"Probably enforcing their standard 2016 camping ordinance. Although the most recent news (September 2024) only said that the mayor and City Council were ""discussing"" actions in light of Grants Pass, and that they were not criminalizing homelessness, they did receive a $2.7 million ""Encampment Resolution"" grant from the state in October."
San Fernando — (no code section cited in source),Proposed anti-camping provision,"Actually adopted a new ordinance - ""Prohibit Encampments and Storage of Personal Property in Public Places"" - prosecution as a misdemeanor or public nuisance. 72 hour notice of sweeps."
Signal Hill — (no code section cited in source),Proposed anti-camping provision,"Signal Hill updated its camping ordinance in August 2024 to enforce anti-camping post-Grants Pass. Extends to camping, ""camp facilities,"" and ""camp paraphernalia."
Torrance — (no code section cited in source),Proposed anti-camping provision,"Torrance updated its camping ordinance to prohibit camping in public places, fires in parks and public places, ""maintaining shelters,"" and ""loitering at bus stops."""
Whittier — Ordinance no. 3105,Proposed anti-camping provision,"Whittier had an existing camping ordinance and released a statement of support post-Grants Pass, though hasn't updated its municipal code. Is probably enforcing the existng ordinance, which extends to bedding. Ordinance no. 3105."
Redondo Beach — (no code section cited in source),Proposed anti-camping provision,"Redondo Beach, in accordance with Grants Pass, may restrict camping near supportive housing."
Manhattan Beach — (no code section cited in source),Anti-camping/enforcement provision,"Manhattan Beach's camping provision (4.140), enacted shortly before Boise, and includes pillows and sleeping materials, and personal property, is now being enforced."
Los Angeles — (no code section cited in source),Anti-camping/enforcement provision,"The City of LA has been resisting Newsom's encampment clearance policies, however already had an anti-camping ordinance on the books, pre-Boise. Reporting on that ordinance says that it cost $3 million and permanently housed two people."
El Segundo — (no code section cited in source),Proposed anti-camping provision,9/17/24 - El Segundo City Council amended the municipal code with new camping ordinances. Encampments on public property will be given 24 hour clearance notices. PATCHES team offers outreach.
Carlsbad — (no code section cited in source),Aug. 2024,"Aug. 2024
City of Carlsbad accepted $5.3 mil from Encampment Resolution Funding Program to ""address"" State Route 78 encampments."
Carlsbad — (no code section cited in source),Aug. 2024,"Aug. 2024
City of Carlsbad accepted $5.3 mil from Encampment Resolution Funding Program to ""address"" State Route 78 encampments."
"Chula Visa — Chula Vista, Cal., Code § 9.90.020 (2024)",Definitions,"Definitions
""'Campsite' means any place where
(1) bedding, sleeping bag, or other material used for bedding purposes,
(2) or any stove or fire is placed, established, or maintained for the purpose of maintaining a temporary or permanent place to live, whether or not such place incorporates the use of any tent, lean-to, shack or any other structure.""
 Chula Vista, Cal., Code § 9.90.020 (2024)"
"Chula Visa — Chula Vista, Cal., Code § 9.90.030 (2024)",Prohibited Conduct,"Prohibited Conduct
Prohibits Sitting, Lying, Sleeping, or Storage on a street, sidewalk, or public property ""in a manner that impedes passage, as provided by the ADA.""
Chula Vista, Cal., Code § 9.90.030 (2024)."
"Chula Visa — Chula Vista, Cal., Code § 9.90.040 (2024)",Prohibited Conduct,"Prohibited Conduct
Cannot camp
(1) w/in 1000 ft of a school,
(2) in or w/in 1000 ft of a city park,
(3) wildlife conservation areas,
(4) ""Major Transit Stops,"" lists 3 trolley stops and 225 bus stops,
(5) w/in 1000 ft of a shelter/safe camping/safe parking site.
Chula Vista, Cal., Code § 9.90.040 (2024)"
